brewery,address,city,type,url
210 Brewing Co,3438 Stoluckquamish Ln ,"Arlington, WA 98223-9056 | Map",Type: Brewpub,http://www.angelofthewind.com
212 Brewing Company,21476 Route 23 ,"Davenport, NY 13750 | Map",Type: Contract,
217 Brew Works,217 South St S ,"Wilson, NC 27893-4911 | Map",Type: Micro,
21st Amendment Brewery,2010 Williams St Unit A ,"San Leandro, CA 94577-2334 | Map",Type: Regional,http://www.21st-Amendment.com
21st Amendment Brewery Cafe,563 2nd St ,"San Francisco, CA 94107-1411 | Map",Type: Brewpub,http://www.21st-amendment.com
23 Brewing Company / Lizzie B's Cafe,2010 KY Route 321 ,"Prestonsburg, KY 41653-9103 | Map",Type: Brewpub,http://www.23brewingcompany.com
238 Brewing Company,10321 E Day Mt ,"Spokane, WA 99021 | Map",Type: Micro,http://www.238brewing.com
23rd Street Brewery,3512 Clinton Pkwy ,"Lawrence, KS 66047-2145 | Map",Type: Brewpub,http://www.brew23.com
26 Degree Brewing Company,2600 E Atlantic Blvd ,"Pompano Beach, FL 33062-4940 | Map",Type: Micro,
28th State Brewing, ,"Houston, TX 77095-6933",Type: Planning,
2C Family Brewing Co., ,"Nampa, ID 83651-3957",Type: Planning,
2Kids Brewing Company,8680 Miralani Dr Ste 123 ,"San Diego, CA 92126-6391 | Map",Type: Micro,http://www.2kidsBrewing.com
2nd Shift Brewing Co,1601 Sublette Ave ,"Saint Louis, MO 63110-1924 | Map",Type: Micro,http://www.2ndshiftbrewing.com
2nd Story Brewing Company,117 Chestnut St Frnt ,"Philadelphia, PA 19106-4700 | Map",Type: Brewpub,http://www.2ndstorybrewing.com/
2SP Brewing Company,120 Concord Rd ,"Aston, PA 19014-2909 | Map",Type: Micro,http://www.2spbrewing.com
3 Daughters Brewing,222 22nd St S ,"Saint Petersburg, FL 33712-1240 | Map",Type: Micro,http://www.3dbrewing.com
3 Disciples Brewing,5511 Volkerts Rd ,"Sebastopol, CA 95472-5937 | Map",Type: Micro,http://www.3disciplesbrewing.com/home
3 Freaks Brewing Co,7140 E County Line Rd ,"Highlands Ranch, CO 80126-3926 | Map",Type: Micro,http://www.3freaksbrewery.com
3 Iron Brewing Company,898 Via Lata Ste A ,"Colton, CA 92324-3920 | Map",Type: Micro,http://www.3ironbrewingco.com
"3 Keys Brewing Company, LLC",2505 Manatee Ave E ,"Bradenton, FL 34208-2421 | Map",Type: Brewpub,http://www.3keysbrewing.com
3 Nations Brewing,2405 Squire Pl Ste 200 ,"Farmers Branch, TX 75234-4714 | Map",Type: Micro,http://www.threenationsbrewing.com
3 Sheeps Brewing Co,1327 Huron Ave ,"Sheboygan, WI 53081-3282 | Map",Type: Micro,http://www.3sheepsbrewing.com
3 Sheets Brewery,2115 NW 20th Loop ,"Albany, OR 97321-1106 | Map",Type: Micro,http://www.3sheetsbrewery.com
3 Sons Brewing Co.,236 N Federal Hwy ,"Dania, FL 33004-2870 | Map",Type: Contract,http://www.3sonsbrewingco.com
3 Stars Brewing Co,6400 Chillum Pl NW Ste B ,"Washington, DC 20012-2111 | Map",Type: Micro,http://www.3starsbrewing.com
30 Mile Brewing Co.,39 Ragged Rock Rd Unit 5 ,"Old Saybrook, CT 06475-1518 | Map",Type: Micro,http://www.30milebrewingco.com
300 Suns Brewing Company,335 1st Ave Unit C ,"Longmont, CO 80501-5958 | Map",Type: Micro,http://www.300sunsbrewing.com
32 North Brewing Co,8655 Production Ave Ste A ,"San Diego, CA 92121-2258 | Map",Type: Micro,
350 Brewing Co,7144 183rd St ,"Tinley Park, IL 60477-3933 | Map",Type: Brewpub,http://www.350brewing.com
38 State Brewing,8071 S Broadway Ste A ,"Littleton, CO 80122-2730 | Map",Type: Micro,http://www.38statebrew.com
38°-75° Brewing,2000 Coastal Highway STE 105 ,"Rehoboth Beach, DE 19971 | Map",Type: Brewpub,
3cross Brewing Company,4 Knowlton Ave ,"Worcester, MA 01603 | Map",Type: Micro,http://3crossbrewing.com
3PM Brewing Co., ,",  ",Type: Planning,http://www.3pmbrewing.com
3rd Degree Brewhouse, ,"Fuquay Varina, NC 27526-7920",Type: Planning,http://www.facebook.com/3rddegreebrewhouse/
3rd Planet Brewing,120 Partin Dr N ,"Niceville, FL 32578-2053 | Map",Type: Micro,http://www.facebook.com/3rdplanetbrewing/
3rd Rock Brewing Company,134 Industrial Park Dr ,"Trenton, NC 28585-9593 | Map",Type: Micro,http://www.3rockbrew.com
3rd Turn Brewing,10408 Watterson Trl ,"Louisville, KY 40299-3702 | Map",Type: Micro,http://www.3rdturnbrewing.com
